Title,"HE student enrolments by HE provider, domicile, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2021/22,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2021/22 total,2862620,,,,,,
,,,,,,,
Last updated,Jan-23,,,,,,
,,,,,,,
UKPRN,HE provider,Level of study,Mode of study,Country of HE provider,Region of HE provider,Domicile,Number
10008071,AA School of Architecture,All,All,All,All,Non-European Union,810
10008071,AA School of Architecture,All,All,All,All,England,95
10008071,AA School of Architecture,All,All,All,All,Wales,0
10008071,AA School of Architecture,All,All,All,All,Scotland,0
10008071,AA School of Architecture,All,All,All,All,Northern Ireland,0
10008071,AA School of Architecture,All,All,All,All,Other UK,0
10008071,AA School of Architecture,All,All,All,All,Total UK,100
10008071,AA School of Architecture,All,All,All,All,Total Non-UK,910
10008071,AA School of Architecture,All,All,All,All,Not known,0
10008071,AA School of Architecture,All,All,All,All,Total,1010
10008071,AA School of Architecture,All,All,All,All,European Union,100
10008071,AA School of Architecture,All,All,All,London,Non-European Union,810
10008071,AA School of Architecture,All,All,All,London,England,95
10008071,AA School of Architecture,All,All,All,London,Wales,0
10008071,AA School of Architecture,All,All,All,London,Scotland,0
10008071,AA School of Architecture,All,All,All,London,Northern Ireland,0
10008071,AA School of Architecture,All,All,All,London,Other UK,0
10008071,AA School of Architecture,All,All,All,London,Total UK,100
10008071,AA School of Architecture,All,All,All,London,Total Non-UK,910
10008071,AA School of Architecture,All,All,All,London,Not known,0
10008071,AA School of Architecture,All,All,All,London,Total,1010
10008071,AA School of Architecture,All,All,All,London,European Union,100
10008071,AA School of Architecture,All,All,England,All,Non-European Union,810
10008071,AA School of Architecture,All,All,England,All,England,95
10008071,AA School of Architecture,All,All,England,All,Wales,0
10008071,AA School of Architecture,All,All,England,All,Scotland,0
10008071,AA School of Architecture,All,All,England,All,Northern Ireland,0
10008071,AA School of Architecture,All,All,England,All,Other UK,0
10008071,AA School of Architecture,All,All,England,All,Total UK,100
10008071,AA School of Architecture,All,All,England,All,Total Non-UK,910
10008071,AA School of Architecture,All,All,England,All,Not known,0
10008071,AA School of Architecture,All,All,England,All,Total,1010
10008071,AA School of Architecture,All,All,England,All,European Union,100
10008071,AA School of Architecture,All,All,England,London,Non-European Union,810
10008071,AA School of Architecture,All,All,England,London,England,95
10008071,AA School of Architecture,All,All,England,London,Wales,0
10008071,AA School of Architecture,All,All,England,London,Scotland,0
10008071,AA School of Architecture,All,All,England,London,Northern Ireland,0
10008071,AA School of Architecture,All,All,England,London,Other UK,0
10008071,AA School of Architecture,All,All,England,London,Total UK,100
10008071,AA School of Architecture,All,All,England,London,Total Non-UK,910
10008071,AA School of Architecture,All,All,England,London,Not known,0
10008071,AA School of Architecture,All,All,England,London,Total,1010
10008071,AA School of Architecture,All,All,England,London,European Union,100
10008071,AA School of Architecture,All,Full-time,All,All,Non-European Union,810
10008071,AA School of Architecture,All,Full-time,All,All,England,95
10008071,AA School of Architecture,All,Full-time,All,All,Wales,0
10008071,AA School of Architecture,All,Full-time,All,All,Scotland,0
10008071,AA School of Architecture,All,Full-time,All,All,Northern Ireland,0
10008071,AA School of Architecture,All,Full-time,All,All,Other UK,0
10008071,AA School of Architecture,All,Full-time,All,All,Total UK,100
10008071,AA School of Architecture,All,Full-time,All,All,Total Non-UK,910
10008071,AA School of Architecture,All,Full-time,All,All,Not known,0
10008071,AA School of Architecture,All,Full-time,All,All,Total,1010
10008071,AA School of Architecture,All,Full-time,All,All,European Union,100
10008071,AA School of Architecture,All,Full-time,All,London,Non-European Union,810
10008071,AA School of Architecture,All,Full-time,All,London,England,95
10008071,AA School of Architecture,All,Full-time,All,London,Wales,0
10008071,AA School of Architecture,All,Full-time,All,London,Scotland,0
10008071,AA School of Architecture,All,Full-time,All,London,Northern Ireland,0
10008071,AA School of Architecture,All,Full-time,All,London,Other UK,0
10008071,AA School of Architecture,All,Full-time,All,London,Total UK,100
10008071,AA School of Architecture,All,Full-time,All,London,Total Non-UK,910
10008071,AA School of Architecture,All,Full-time,All,London,Not known,0
10008071,AA School of Architecture,All,Full-time,All,London,Total,1010
10008071,AA School of Architecture,All,Full-time,All,London,European Union,100
10008071,AA School of Architecture,All,Full-time,England,All,Non-European Union,810
